Catalyst	Product	TS	PCM-B97D_E	PCM-B97D_H	PCM-B97D_G	PCM-B97D_qG	SMD-B97D  	 SMD-M06-2X  	 PCM-M06-2X  	PCM-wB97XD 	B97D
1a	R	BP1	-2744.424696	-2743.863043	-2743.915054	-2743.912323	-2744.464222	-2744.263248	-2744.221510	-2744.961077	-2744.368286
1a	R	BP2	-2744.430160	-2743.868414	-2743.919288	-2743.917147	-2744.468440	-2744.266505	-2744.225990	-2744.966018	-2744.369697
1a	R	BP3	-2744.420293	-2743.857810	-2743.908808	-2743.906520	-2744.459154	-2744.256313	-2744.215332	-2744.954641	-2744.357885
1a	R	BP4	-2744.416433	-2743.854784	-2743.907024	-2743.904195	-2744.456716	-2744.253396	-2744.210779	-2744.951243	-2744.351497
1a	R	BP5	-2744.421286	-2743.859393	-2743.911356	-2743.908765	-2744.460517	-2744.255969	-2744.214534	-2744.956866	-2744.358840
1a	R	BP1'	-2744.425465	-2743.863868	-2743.916209	-2743.913339	-2744.464463	-2744.263439	-2744.222062	-2744.961603	-2744.369288
1a	R	BP2'	-2744.426833	-2743.864766	-2743.916340	-2743.913877	-2744.466293	-2744.265032	-2744.223276	-2744.963075	-2744.365383
1a	R	BP3'	-2744.413881	-2743.852709	-2743.905692	-2743.902613	-2744.453882	-2744.251436	-2744.209082	-2744.948049	-2744.351536
1a	R	BP4'	-2744.418797	-2743.857080	-2743.909352	-2743.906600	-2744.458329	-2744.253974	-2744.212276	-2744.954386	-2744.353056
1a	R	BP5'	-2744.416609	-2743.855107	-2743.907685	-2743.904705	-2744.456492	-2744.254282	-2744.212141	-2744.952087	-2744.355089
1a	S	BP1	-2744.424121	-2743.862444	-2743.914453	-2743.911825	-2744.463628	-2744.263087	-2744.221365	-2744.960540	-2744.367816
1a	S	BP2	-2744.427276	-2743.865344	-2743.916003	-2743.913926	-2744.465606	-2744.262311	-2744.221703	-2744.962674	-2744.362911
1a	S	BP3	-2744.428883	-2743.866118	-2743.915822	-2743.914095	-2744.467047	-2744.261745	-2744.221592	-2744.963571	-2744.367431
1a	S	BP4	-2744.421666	-2743.859993	-2743.911440	-2743.908920	-2744.461869	-2744.259667	-2744.217220	-2744.957754	-2744.360588
1a	S	BP5	-2744.415686	-2743.853859	-2743.905285	-2743.902955	-2744.455701	-2744.248169	-2744.205977	-2744.949156	-2744.349398
1a	S	BP1'	-2744.427002	-2743.865149	-2743.917124	-2743.914345	-2744.465950	-2744.265829	-2744.224461	-2744.964001	-2744.371020
1a	S	BP2'	-2744.425024	-2743.863411	-2743.916090	-2743.913119	-2744.464449	-2744.263322	-2744.221675	-2744.961560	-2744.360036
1a	S	BP3'	-2744.422028	-2743.860116	-2743.912534	-2743.909666	-2744.461237	-2744.259195	-2744.217722	-2744.956936	-2744.361354
1a	S	BP4'	-2744.420034	-2743.858375	-2743.910540	-2743.907744	-2744.459780	-2744.255244	-2744.213209	-2744.955078	-2744.357233
1a	S	BP5'	-2744.411516	-2743.850007	-2743.902536	-2743.899615	-2744.452187	-2744.247457	-2744.204370	-2744.945207	-2744.346677
1b	R	BP1	-3042.121370	-3041.581909	-3041.636577	-3041.633319	-3042.159526	-3041.903603	-3041.862933	-3042.721330	-3042.065879
1b	R	BP2	-3042.127528	-3041.587877	-3041.641553	-3041.638803	-3042.164128	-3041.906506	-3041.867369	-3042.726857	-3042.068113
1b	R	BP3	-3042.117321	-3041.577248	-3041.630849	-3041.628042	-3042.155370	-3041.896004	-3041.855491	-3042.714984	-3042.055600
1b	R	BP4	-3042.113091	-3041.573849	-3041.629568	-3041.625892	-3042.152080	-3041.893154	-3041.851546	-3042.711696	-3042.049087
1b	R	BP5	-3042.118285	-3041.578501	-3041.632849	-3041.629785	-3042.156339	-3041.896249	-3041.855663	-3042.717505	-3042.057212
